Step,NodeID,True_X,True_Y,Dist_A0,Dist_A1,Dist_A2,Dist_A3
81,4,6.0000,7.0000,8.9180,8.1623,1.2696,4.9843
82,0,2.0000,3.0000,3.9403,9.1478,5.9641,10.4816
82,1,3.0000,4.0000,5.4952,8.2634,4.2853,10.1527
82,2,4.0000,5.0000,7.0177,8.3936,2.6284,7.8150
82,3,5.0000,6.0000,8.0687,7.8672,1.8401,7.1652
82,4,6.0000,7.0000,9.6765,7.6726,1.5274,4.9503
83,0,2.0000,3.0000,3.4855,8.3558,5.7121,10.9694
83,1,3.0000,4.0000,5.4052,8.7880,4.6622,8.9851
83,2,4.0000,5.0000,6.9743,8.2426,3.6179,7.8707
83,3,5.0000,6.0000,8.5295,7.5712,1.7796,6.3217
83,4,6.0000,7.0000,9.5173,8.0439,0.6590,5.0560
84,0,2.0000,3.0000,3.3078,8.8946,5.5438,10.3177
84,1,3.0000,4.0000,4.4765,8.5781,4.4532,9.7582
84,2,4.0000,5.0000,7.1805,7.9775,3.2961,7.4452
84,3,5.0000,6.0000,8.2996,7.3205,2.1437,6.1160
84,4,6.0000,7.0000,9.0917,7.7463,1.7462,4.7944
85,0,2.0000,3.0000,4.1642,8.6416,5.7360,11.7294
85,1,3.0000,4.0000,4.7358,7.9094,4.6265,9.5898
85,2,4.0000,5.0000,6.4614,8.6065,3.2278,8.2831
85,3,5.0000,6.0000,7.2023,7.6244,1.4676,6.8825
85,4,6.0000,7.0000,9.7379,7.6905,1.0397,4.9759
86,0,2.0000,3.0000,3.7434,9.1191,5.4048,10.7995
86,1,3.0000,4.0000,5.2659,7.8784,4.5220,9.4283
86,2,4.0000,5.0000,5.4000,7.2946,3.0014,8.0057
86,3,5.0000,6.0000,7.5243,8.3320,1.9693,6.4562
86,4,6.0000,7.0000,9.5359,7.7268,2.3714,4.5145
87,0,2.0000,3.0000,3.7924,8.0421,5.3132,11.1347
87,1,3.0000,4.0000,4.4359,7.9015,4.3426,9.4072
87,2,4.0000,5.0000,6.5855,9.1851,3.0460,6.9924
87,3,5.0000,6.0000,7.6622,8.4692,2.0553,6.3614
87,4,6.0000,7.0000,9.1079,7.8263,1.6123,5.3187
88,0,2.0000,3.0000,3.9656,8.5357,6.1562,10.6278
88,1,3.0000,4.0000,5.5862,8.0435,4.6765,9.1687
88,2,4.0000,5.0000,6.7942,7.9120,3.2116,8.0780
88,3,5.0000,6.0000,8.2688,7.6878,2.3311,6.4281
88,4,6.0000,7.0000,9.3441,8.4379,1.5704,4.5555
89,0,2.0000,3.0000,3.7344,8.3945,6.4151,11.3952
89,1,3.0000,4.0000,4.9950,8.8934,4.6323,9.0993
89,2,4.0000,5.0000,5.7094,8.2093,2.8395,7.8714
89,3,5.0000,6.0000,8.2596,7.9969,2.1157,6.0849
89,4,6.0000,7.0000,9.3785,8.0993,1.9055,5.0949
90,0,2.0000,3.0000,3.7376,8.3346,5.7176,9.8651
90,1,3.0000,4.0000,5.2084,8.0905,3.9116,9.2133
90,2,4.0000,5.0000,6.9051,7.7861,2.6825,7.5958
90,3,5.0000,6.0000,8.0486,7.7449,1.2241,6.9316
90,4,6.0000,7.0000,8.8970,8.7277,0.8310,4.7073
91,0,2.0000,3.0000,3.3309,8.1333,6.4536,10.7014
91,1,3.0000,4.0000,5.1520,7.8540,4.2259,9.2377
91,2,4.0000,5.0000,6.3124,7.9298,2.9010,7.6353
91,3,5.0000,6.0000,7.5229,8.2068,2.2972,5.4878
91,4,6.0000,7.0000,8.9528,8.0984,1.4780,4.8028
92,0,2.0000,3.0000,3.5109,8.3904,5.8168,10.9719
92,1,3.0000,4.0000,4.6730,8.2902,4.6969,8.3820
92,2,4.0000,5.0000,6.0530,8.3206,2.8521,7.9710
92,3,5.0000,6.0000,8.0850,8.0183,2.5503,6.6357
92,4,6.0000,7.0000,8.6173,8.2260,1.6410,4.6959
93,0,2.0000,3.0000,3.0085,8.6661,5.4214,11.1419
93,1,3.0000,4.0000,5.6572,7.7913,4.3709,9.7174
93,2,4.0000,5.0000,6.8406,8.3779,3.7700,9.1460
93,3,5.0000,6.0000,7.5118,8.2128,1.3352,6.8898
93,4,6.0000,7.0000,8.9883,8.3035,1.2031,5.2781
94,0,2.0000,3.0000,2.6219,8.4618,5.5918,10.7012
94,1,3.0000,4.0000,4.8177,8.1937,5.1026,8.0421
94,2,4.0000,5.0000,6.5471,9.1360,3.4413,7.8915
94,3,5.0000,6.0000,7.4956,8.1916,2.0245,6.1554
94,4,6.0000,7.0000,9.6435,8.3272,0.8737,4.9172
95,0,2.0000,3.0000,4.0819,8.7524,4.9533,10.7057
95,1,3.0000,4.0000,5.5837,7.8996,4.4186,9.5176
95,2,4.0000,5.0000,6.3218,7.2965,2.8767,8.0609
95,3,5.0000,6.0000,7.6817,7.9718,1.9783,6.2423
95,4,6.0000,7.0000,9.2721,7.9968,1.7711,5.1516
96,0,2.0000,3.0000,3.4774,8.7624,5.5286,11.0547
96,1,3.0000,4.0000,5.0006,8.1287,4.4434,8.9659
96,2,4.0000,5.0000,7.2372,8.6775,3.3885,8.5211
96,3,5.0000,6.0000,7.8457,8.5038,2.3480,6.1024
96,4,6.0000,7.0000,8.9294,8.4267,1.7935,4.7839
97,0,2.0000,3.0000,3.5836,8.8372,5.4125,10.4499
97,1,3.0000,4.0000,5.1240,7.7663,3.8354,9.1855
97,2,4.0000,5.0000,6.7077,7.7481,3.4242,7.7317
97,3,5.0000,6.0000,7.9612,8.3504,1.2567,6.7577
97,4,6.0000,7.0000,8.9421,7.7437,1.1509,4.9280
98,0,2.0000,3.0000,3.1953,8.6387,5.7729,10.5172
98,1,3.0000,4.0000,5.3701,7.3927,4.9447,9.5997
98,2,4.0000,5.0000,6.2008,8.0299,2.6405,7.5478
98,3,5.0000,6.0000,7.5782,7.8643,1.8259,6.2979
98,4,6.0000,7.0000,9.1194,7.9499,1.1981,5.0347
99,0,2.0000,3.0000,4.1457,7.8145,6.0358,10.2905
99,1,3.0000,4.0000,5.9049,8.1542,4.3377,9.8039
99,2,4.0000,5.0000,6.3319,7.7685,3.5858,8.1258
99,3,5.0000,6.0000,7.6900,8.0029,1.2631,6.6136
99,4,6.0000,7.0000,8.8811,7.9898,1.4405,4.8929
